"","X.1","X","nuts_2","nuts_1","country","trade_center","trade_center_1","trade_center_2","tc_ratio","tc_ratio_1","tc_ratio_2","tc_abs","tc_abs_1","tc_abs_2","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","agri","altitude","dist_border","dist_coast","dist_trade","tc_dist","east_germany","bishop","mining","eqi100","residence","trade_years","Region","AREA","Year","AGSH","GDP","GDP_11","INDSH","POP","SERSH","relden.GDP","popDensity","GDPpc","GDP_11pc","tc_dens","tc_dens_1","tc_dens_2","delta_Year","GDPpcGrowth","GDP_11pcGrowth","GDPpc_delta1900","GDP_11pc_delta1900","GDP_ln","GDP_11_ln","lnGDPpc","lnGDP_11pc","lnGDPpcGrowth","lnGDP_11pcGrowth","POP_ln","AREA_ln","ln.relden.GDP","ln.popDensity","education_ln","catholics_ln","dist_border_ln","dist_coast_ln","dist_trade_ln","ln_tc_dist","eqi100_ln","agri_ln","AGSH_ln","SERSH_ln","INDSH_ln"
"1","AT11.1900",1,"AT11","AT1","Austria",0,0,0,0,0,0,0,0,0,0,15.1,70.513298034668,47.5082105000814,16.4922383626302,0,1,0,0,0,0,0,1.88166666858021,223.166669209798,0.125508718192577,2.9036869208018,0.693312247594198,1.69331221930532,0,0,0,90.620002746582,1,0,"Burgenland",3962,1900,0.766,457,497,0.123,292,0.111,0.562080351851272,0.0737001514386673,1565.06849315068,1702.05479452055,0,0,0,0,1,1,1,1,6.12468339089421,6.20859002609663,7.35568486760806,7.43959150281048,0,0,5.67675380226828,8.2845042272585,-0.576110464484044,-2.60775042499021,2.71469474382088,4.25580131663606,-2.07538005515313,1.06598128150942,-0.366274807541094,0.526686503930362,4.50667496954778,0.632157909950456,-0.266573109241546,-2.1982250776698,-2.09557092360972
"2","AT12+AT13.1900",2,"AT12+AT13","AT1","Austria",1,1,1,0.125,0.125,0.125,1,1,1,1,18.6875,70.513298034668,48.2306914329529,15.9105032682419,1,1,1,0,1,0,0,1.71674999007209,412.137495040894,0.440830109640956,3.23650321364403,0,1.47737403183456,0,1,0,84.5499982833862,1,8,"Lower Austria",19601,1900,0.233,10940,11913,0.395,3080,0.372,2.71979248068329,0.157134840059181,3551.94805194805,3867.85714285714,0.0510178052140197,0.0510178052140197,0.0510178052140197,0,1,1,1,1,9.30018107597597,9.38538551979936,8.17525147899049,8.26045592281388,0,0,8.03268487596762,9.88333586432528,1.00055558353094,-1.85065098835765,2.92785485115091,4.25580131663606,-0.81909571666826,1.17449349194099,-Inf,0.390266209021893,4.43734305504165,0.540432962735681,-1.45671682541644,-0.988861424708991,-0.928869514081015
"3","AT21.1900",3,"AT21","AT2","Austria",1,0,0,0.333333333333333,0,0,1,0,0,0,17.3,70.513298034668,46.7263209025065,13.9798091252645,1,1,0,0,0,0,0,1.09500000176393,799.133321126302,0.224680222570896,1.08139048020045,0,1.36817438619911,0,1,0,88.120002746582,0,6,"Carinthia",9538,1900,0.635,632,688,0.191,344,0.175,0.322891368477479,0.0360662612707066,1837.20930232558,2000,0.104843782763682,0,0,0,1,1,1,1,6.44888939414686,6.53378883793334,7.5160030157556,7.60090245954208,0,0,5.8406416573734,9.16303909885817,-1.13043933283106,-3.32239744148477,2.85070650150373,4.25580131663606,-1.49307712070554,0.0782476947093843,-Inf,0.313477286367821,4.4786995531028,0.0907543648793592,-0.454130280089445,-1.74296930505862,-1.65548185093551
"4","AT22.1900",4,"AT22","AT2","Austria",1,0,0,0.333333333333333,0,0,2,0,0,0,16.6,70.513298034668,47.2274824778239,15.0753939946493,1,1,0,0,0,0,0,1.31366666708102,721.183319091798,0.621018941203753,1.96369731426239,0,1.35549268314913,0,1,0,81.3499984741211,1,6,"Styria",16401,1900,0.645,1929,2100,0.194,889,0.161,0.573137169403666,0.0542040119504908,2169.85376827897,2362.20472440945,0.121943783915615,0,0,0,1,1,1,1,7.56475701290573,7.64969262371151,7.68241505637396,7.76735066717975,0,0,6.7900972355139,9.70509758756311,-0.556630202777132,-2.9150003520492,2.8094026953625,4.25580131663606,-0.476393696380551,0.67482908108069,-Inf,0.304164992043918,4.39876081490808,0.272822209860174,-0.438504962186365,-1.82635091399767,-1.63989711991881
"5","AT31.1900",5,"AT31","AT3","Austria",1,1,0,0.2,0.2,0,1,1,0,0,16.5,70.513298034668,48.1311820983887,13.983486366272,1,1,0,0,0,0,0,1.54280001423709,825.039990234375,0.35951232612133,2.40560808181763,0,1.35712919159532,0,0,0,82.629997253418,0,13,"Upper Austria",11980,1900,0.58,1927,2098,0.235,811,0.185,0.783829441524522,0.0676961602671119,2376.07891491985,2586.92971639951,0.0834724540901502,0.0834724540901502,0,0,1,1,1,1,7.56371966841437,7.64873978895624,7.77320689328109,7.85822701382297,0,0,6.69826805411541,9.39099387166944,-0.243563831374826,-2.69272581755403,2.80336038090653,4.25580131663606,-1.02300681556228,0.87780271227152,-Inf,0.305371580149669,4.41437277747357,0.433598956580021,-0.544727175441672,-1.68739945390381,-1.44816976483798
"6","AT32.1900",6,"AT32","AT3","Austria",1,0,0,0.333333333333333,0,0,1,0,0,0,19.7,70.513298034668,47.4059092203776,13.2349650065104,1,1,0,0,0,0,0,1.13933333484089,1556.26664225261,0.292552461226781,1.66095300515493,0,1.38034760086508,0,1,0,82.0299987792969,0,6,"Salzburg",7156,1900,0.522,477,520,0.214,193,0.264,0.324821466362811,0.0269703745108999,2471.50259067358,2694.30051813471,0.139742873113471,0,0,0,1,1,1,1,6.16751649088834,6.25382881157547,7.81258158096559,7.89889390165272,0,0,5.26269018890489,8.87570644462861,-1.12447958186002,-3.61301625572372,2.98061863574394,4.25580131663606,-1.22911127377087,0.507391537127306,-Inf,0.322335352136333,4.40708501913348,0.130443297348481,-0.650087691099498,-1.33180617583582,-1.54177926396029
"7","AT33.1900",7,"AT33","AT3","Austria",1,0,1,0.2,0,0.2,1,0,1,0,17,70.513298034668,47.1817337036133,11.429856300354,1,1,0,0,0,0,0,1.05299999823869,1669.64001464844,0.204038810729981,2.08236885070801,0,1.63198379226969,0,0,0,87.6600036621094,0,6,"Tyrol",12640,1900,0.635,518,565,0.168,266,0.197,0.19970059610524,0.0210443037974684,1947.36842105263,2124.06015037594,0.0791139240506329,0,0.0791139240506329,0,1,1,1,1,6.24997524225948,6.33682573114644,7.57423421245992,7.66108470134688,0,0,5.5834963087817,9.44462166770085,-1.61093605356112,-3.86112535891915,2.83321334405622,4.25580131663606,-1.58944505455653,0.73350611622484,-Inf,0.489796325285303,4.47346573676695,0.0516432314791793,-0.454130280089445,-1.62455155024415,-1.78379129957888
"8","AT34.1900",8,"AT34","AT3","Austria",0,0,0,0,0,0,0,0,0,0,16.8,70.513298034668,47.2718086242676,9.84349536895752,1,1,0,0,0,0,0,1.27499999886606,1454.70001220703,0.125429015606642,2.9877700805664,0.542340576648712,1.54234054783697,0,0,0,86.1600036621094,0,0,"Vorarlberg",2601,1900,0.376,333,363,0.461,129,0.163,0.623879272063824,0.04959630911188,2581.39534883721,2813.95348837209,0,0,0,0,1,1,1,1,5.80814248998044,5.89440283426485,7.85608536460091,7.94234570888532,0,0,4.85981240436167,7.86365126544865,-0.47179840358796,-3.00383886108698,2.82137888640921,4.25580131663606,-2.07601529312558,1.09452731670835,-0.611861104683805,0.433301098901077,4.45620607535172,0.242946177721025,-0.978166135592243,-1.81400507817537,-0.774357235985488
"9","BE10+BE24+BE31.1900",9,"BE10+BE24+BE31","BRU","Belgium",0,0,0,0,0,0,0,0,0,1,44.85,73.6669998168945,50.8117876052857,4.4978129863739,0,0,1,0,1,0,0,1.66200000066983,78.1249990463257,0.49574389308691,0.321398779749871,0.515691936016083,1.51569191375609,0,0,0,69.2500009536743,0,0,"Brabant",3358,1900,0.246,5184,8311,0.371,1281,0.383,0.530196027317878,0.381477069684336,4046.83840749415,6487.90007806401,0,0,0,0,1,1,1,1,8.55333223803211,9.02533521755303,8.30569121511751,8.77769419463843,0,0,7.15539630189673,8.11910083763749,-0.634508477954456,-0.963704535740752,3.80332358850481,4.2995549352407,-0.701695830191822,-1.13507262235715,-0.662245715014551,0.415872043451529,4.23772315883892,0.508021696836283,-1.40242374304977,-0.959720289801491,-0.991553216374702
"10","BE21.1900",10,"BE21","BRU","Belgium",1,1,0,0.333333333333333,0.333333333333333,0,1,1,0,0,32,73.6669998168945,51.1952845255534,4.66450929641724,0,1,0,1,1,0,0,1.12733333659716,13.5666663646698,0.194770835340023,0.258319303393364,0,1.23217351780966,0,0,0,81.5500030517578,0,7,"Antwerp",2867,1900,0.258,2970,4761,0.345,834,0.398,2.76714575813206,0.290896407394489,3561.15107913669,5708.63309352518,0.348796651552145,0.348796651552145,0,0,1,1,1,1,7.99631723179675,8.46821300919452,8.17783910842014,8.64973488581791,0,0,6.72623340235875,7.96102146588337,1.01781637673292,-1.23478806352462,3.46573590279973,4.2995549352407,-1.63593161489589,-1.35355884921675,-Inf,0.208779697571942,4.40121636648894,0.119854964703453,-1.35479569406052,-0.921303273697699,-1.06421086195078
