STAT_LEVL_CODE;NUTS_ID;NUTS_NAME;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
9;EU27_2019;European Union;;;;;;;;;;;;;;;;14955,77357;15656,08563;16497,78889;17307,37895;18152,33601;19386,64918;20166,35781;20827,3813;20990,02989;21923,71401;22843,10387;24145,66306;25613,99916;25728,56218;24229,61379;25171,10667;25956,70807;26352,51487;26482,66569;27328,36275;28725,28645;28957,38957;29779,23304;30715,69387;31608,77432;32556,50277;33508,75276
9;EU28;European Union + UK;;;;;;;;;;;;;;;;15234,49309;16013,33424;16905,95925;17684,89196;18532,60339;19841,06175;20643,58686;21330,69053;21560,45313;22550,24385;23444,06181;24715,42856;26073,80228;26128,18206;24526,78627;25500,76495;26216,49052;26680,74988;26848,98679;27722,57562;29138,79892;29304,71215;30072,63754;30958,03511;31831,3907;;
9;EA19;Euro area;;;;;;;;;;;;;;17095,53504;17772,98723;17225,30908;17985,66819;18963,40076;19904,32732;20864,36761;22259,16596;23100,17797;23737,48142;23806,28598;24684,88746;25660,90829;27013,34787;28453,03512;28321,11975;26557,89948;27476,17654;28218,72682;28536,81045;28638,45807;29488,72047;30896,80376;31121,0134;31863,5363;32734,69288;33534,70851;34422,39478;35308,68005
0;AL;Albania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7957,429159;7767,431916;8302,144886;8766,030375;8636,821169;9131,283329;9465,792345;9930,341423;10484,22059;11051,39793
1;AL0;Shqipëria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7957,429159;7767,431916;8302,144886;8766,030375;8636,821169;9131,283329;9465,792345;9930,341423;10484,22059;11051,39793
2;AL01;Veri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6429,981599;6240,668735;6530,060666;7126,883297;7107,257847;7393,998569;7709,843465;8035,997262;8506,66862;8948,918415
3;AL011;Dibër;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5217,007861;5156,938842;5640,957229;6305,091612;6396,144996;6726,192184;7229,232195;7686,156639;8376,821652;9040,049496
3;AL012;Durrës;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8097,816726;7868,038104;8051,373738;8898,838911;8704,383508;9148,344715;9352,808165;9716,677118;10125,83035;10552,09704
3;AL013;Kukës;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5767,218275;5966,291482;5547,452797;5564,97697;5285,543858;5457,620294;5566,238404;5755,714343;6015,081555;6292,44382
3;AL014;Lezhë;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5483,052202;5115,970143;6004,71571;6356,667376;6627,574243;6734,174956;7187,654984;7446,060451;7987,404434;8413,761756
3;AL015;Shkodër;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6007,908817;5692,046776;5849,008699;6401,556596;6416,507695;6544,533623;6804,461878;7011,01927;7392,208966;7721,852652
2;AL02;Qender;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9549,435255;9204,655168;9831,569805;10598,61404;10350,07831;11199,822;11530,39377;12191,42477;12816,72547;13520,90363
3;AL021;Elbasan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5484,953237;5665,173625;6030,960309;6079,906118;6105,017434;6327,452357;6654,000324;6948,056697;7408,523115;7830,963108
3;AL022;Tiranë;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11125,78954;10530,39466;11204,89173;12173,19039;11798,39764;12803,42829;13066,95213;13781,9962;14390,93527;15114,19733
2;AL03;Jug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7529,38522;7477,650462;8086,229535;8019,424661;7908,232023;8097,136906;8383,933304;8650,235169;9105,07679;9517,179053
3;AL031;Berat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5790,285395;5813,711097;6424,134286;6971,394647;7093,943085;7510,40987;8055,140385;8589,000966;9351,175659;10100,2778
3;AL032;Fier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9231,550702;9454,702092;10403,70576;9702,123784;9037,596424;9343,881235;9358,988224;9615,604597;9898,183523;10246,65391
3;AL033;Gjirokastër;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8237,191551;7961,389699;8721,679769;8699,513207;8547,198377;9065,738534;9623,107025;10262,28721;11135,09524;12046,43091
3;AL034;Korcë;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5911,044614;5846,951314;6193,365503;6473,920303;6704,879058;6751,069654;7166,001239;7375,888452;7877,734464;8261,089406
3;AL035;Vlorë;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7660,739492;7188,183317;7489,494581;7593,341735;7822,556975;7699,33029;8009,723787;8063,953703;8430,409615;8645,884566
0;AT;Austria;8461,062623;9321,680973;10298,02723;11145,99354;11824,09941;12691,6132;13354,39953;13832,29983;14933,5295;16317,07564;17663,17394;18955,98777;19676,99354;19720,971;20476,08907;19921,58052;20910,77796;21947,74374;23062,79844;24088,01199;25749,45984;25804,03094;26784,12347;27259,45863;28571,17501;29774,76755;31156,41725;32480,28074;32652,30955;31132,96441;32159,55613;33554,61565;35135,16593;35223,14482;35993,31923;37550,16501;37689,74383;38101,35678;39319,78986;40333,12908;41373,11566;42407,25937
