"","nuts_1","region_name3","nuts_2","region_name","nuts_3","region_name2","pop_dens","population","agri","unemployment","patents","fixed_cap","emp_comp","education","lngdp","capital","capital_ar","catholics","latitude","longitude","mountain_region","border_region","lnpop","university_1500","coast_region","printingpress_pre1500","hanse_city","district_free_city","imperial_city","Dist_Wittenberg","altitude","dist_to_border","lndist_border","lndist_ap","lndist_coast","lndist_railroad","lndist_river","lndist_road","east_germany","post_comm","cutoff10","imperialroad","lndist_wittenberg","lnlonlat","lnpop_dens","bishop_12","bishop_10","eqi100","lneqi","lnfixed_cap","lnemp_comp","inequality2","lnarea","mining","industry_firms","gdp_dens","lngdp_dens","medieval_mining","gdp_dens_rel","lngdp_dens_rel","gdp_density","residence","trade_city_final","trade_city_final_1","trade_city_final_2","trade_city_final_3","trade_city_final_4","lndist_trade_city1","lndist_trade_city2","lndist_trade_city3","lndist_trade_city4","lndist_trade_city5","sample2","trade_city_alt","lndist_trade_city_alt","av_area","country","gdp","pop","urban_potential","lnurban","neighborgdp","neighborgdp2","neighborgdp4","neighborgdp5","neighborgdp6","neighborgdp7","neighborgdp8","neighborgdp9","neighborgdp10","neighborgdp11","neighborgdp12","neighborgdp13","neighborgdp14","neighborgdp15","lngdpn2","trade_year","tradeneighbor","tradeneighbor2","tradeneighbor3","tradeneighbor4","tradeneighbor5","lndist_lubeck","mountain","lndist_roman","lnagri","lncost_dist","dist_mid","lndist_mid","staufer","lotharingia","ertruscan","nightlight","lnnightlight","int2","cons","lndist_roman_alt","lndist_river_alt","dist_trade","bishop","area","area_pc","inst1","dist_meersen","lndist_meersen","dist_uni","near_fid","lndist_uni","dist_1300","dist_1400","delta_dist","lndelta_dist","trade_index","trade_index2","staufertrade","lothartrade","F","dist_coast","_Inuts_2_2","_Inuts_2_3","_Inuts_2_4","_Inuts_2_5","_Inuts_2_6","_Inuts_2_7","_Inuts_2_8","_Inuts_2_9","_Inuts_2_10","_Inuts_2_11","_Inuts_2_12","_Inuts_2_13","_Inuts_2_14","_Inuts_2_15","_Inuts_2_16","_Inuts_2_17","_Inuts_2_18","_Inuts_2_19","_Inuts_2_20","_Inuts_2_21","_Inuts_2_22","_Inuts_2_23","_Inuts_2_24","_Inuts_2_25","_Inuts_2_26","_Inuts_2_27","_Inuts_2_28","_Inuts_2_29","_Inuts_2_30","_Inuts_2_31","_Inuts_2_32","_Inuts_2_33","_Inuts_2_34","_Inuts_2_35","_Inuts_2_36","_Inuts_2_37","_Inuts_2_38","_Inuts_2_39","_Inuts_2_40","_Inuts_2_41","_Inuts_2_42","_Inuts_2_43","_Inuts_2_44","_Inuts_2_45","_Inuts_2_46","_Inuts_2_47","_Inuts_2_48","_Inuts_2_49","_Inuts_2_50","_Inuts_2_51","_Inuts_2_52","_Inuts_2_53","_Inuts_2_54","_Inuts_2_55","_Inuts_2_56","_Inuts_2_57","_Inuts_2_58","_Inuts_2_59","_Inuts_2_60","_Inuts_2_61","_Inuts_2_62","_Inuts_2_63","_Inuts_2_64","_Inuts_2_65","_Inuts_2_66","_Inuts_2_67","_Inuts_2_68","_Inuts_2_69","_Inuts_2_70","_Inuts_2_71","_Inuts_2_72","_Inuts_2_73","_Inuts_2_74","_Inuts_2_75","_Inuts_2_76","_Inuts_2_77","_Inuts_2_78","_Inuts_2_79","_Inuts_2_80","_Inuts_2_81","_Inuts_2_82","_Inuts_2_83","_Inuts_2_84","_Inuts_2_85","_Inuts_2_86","_Inuts_2_87","_Inuts_2_88","_Inuts_2_89","_Inuts_2_90","_Inuts_2_91","_Inuts_2_92","_Inuts_2_93","_Inuts_2_94","_Inuts_2_95","_Inuts_2_96","_Inuts_2_97","_Inuts_2_98","_Inuts_2_99","_Inuts_2_100","_Inuts_2_101","_Inuts_2_102","_Inuts_2_103","_Inuts_2_104","_Inuts_2_105","_Inuts_2_106","_Inuts_2_107","_Inuts_2_108","_Inuts_2_109","_Inuts_2_110","_Inuts_2_111","_Inuts_2_112","_Inuts_2_113","_Inuts_2_114","_Inuts_2_115","_Inuts_2_116","_Inuts_2_117","_Inuts_2_118","_Inuts_2_119","_Inuts_2_120","_Inuts_2_121","_Inuts_2_122","_Inuts_2_123","_Inuts_2_124","_Inuts_2_125","_Inuts_2_126","_Inuts_2_127","_Inuts_2_128","_Inuts_2_129","_Inuts_2_130","_Inuts_2_131","_Inuts_2_132","_Inuts_2_133","_Inuts_2_134","_Inuts_2_135","_Inuts_2_136","_Inuts_2_137","_Inuts_2_138","_Inuts_2_139","_Inuts_2_140","_Inuts_2_141","_Inuts_2_142","_Inuts_2_143","luminosity_pc","lnluminosity_pc","NLpc","lnNLpc"
"1","AT1"," Ostösterreich","AT11"," Burgenland (AT)","AT111","Mittelburgenland",54.0999984741211,37500,NA,NA,8.79899978637695,1442.67004394531,2387.19995117188,15.1,9.87302875518799,0,0,70.513298034668,47.5051040649414,16.4982414245605,0,1,10.5320959091187,0,0,0,0,0,0,552.59670345499,260.5,0.0984877124428749,-2.31782341003418,-0.492454648017883,1.06625473499298,-0.912739396095276,-0.448752850294113,-5.37777137756348,0,0,3,0,6.31462860107422,6.66409111022949,3.99083423614502,0,0,90.620002746582,4.50667476654053,7.27425098419189,7.77787637710571,0.12305149435997,6.55222272872925,0,1045,1049540.375,13.863862991333,0,0.431166499853134,-0.841260969638824,0.197937175631523,1,0,0,0,0,0,0.54523104429245,0.54523104429245,0.54523104429245,0.54523104429245,0.54523104429245,0,0,0.812082946300507,2396.54296875,"Austria",19400.0078125,37499.98828125,560484.147360498,13.2365560531616,5.61877331189475,6.34875366326474,9.20538410697777,10.9662190639451,13.0836049033871,15.4276554953772,18.4569978439905,22.2795494025209,28.4750349540165,34.6903781527543,38.7853743555478,42.1648650133935,44.428822690506,46.8996957318631,1.84825849533081,0,0,3,0,6,4,6.68006563186646,0,-2.74170136451721,0.531804025173187,7.20240068435669,644.518249995668,6.46850299835205,0,0,0,7.42218542098999,2.00447344779968,0,1,0.455804884433746,0.262124508619308,0.725006937980652,0,700.800109863281,152.299987792969,0,831.631157976723,6.72338914871216,501737.71875,1,13.1258344650269,405864,59542.48046875,346.321533203125,5.85025119781494,1.71792936325073,1.71792936325073,0,0,2.63961770187857,2.90448093414307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.000197925008251332,-8.52762222290039
"2","AT1"," Ostösterreich","AT11"," Burgenland (AT)","AT112","Nordburgenland",97.1999969482422,148300,NA,NA,46.1419982910156,1442.67004394531,2387.19995117188,15.1,10.1023387908936,0,1,70.513298034668,47.8761978149414,16.7153739929199,0,1,11.9069929122925,0,0,0,0,0,0,524.940791354765,112.900001525879,0.136227369308472,-1.9934298992157,-1.29821002483368,1.20398390293121,-1.92570900917053,-1.37775647640228,-3.12783622741699,0,0,3,0,6.26328563690186,6.68494749069214,4.5767707824707,0,0,90.620002746582,4.50667476654053,7.27425098419189,7.77787637710571,0.0978360250592232,7.49036169052124,0,1045,2371680.75,14.6791095733643,0,0.381305783987045,-0.964153647422791,0.175047397613525,0,0,0,0,0,0,0.392556965351105,0.392556965351105,0.392556965351105,0.392556965351105,0.392556965351105,0,0,0.964757025241852,2396.54296875,"Austria",24400.009765625,148300.0625,587585.935734557,13.2837781906128,5.81000778645573,7.43329705421063,9.84739255418033,11.8402932759372,13.8170651311669,16.3186253594309,20.0063956006954,23.4902614181655,29.3973851694153,35.5148431808282,40.0509869815489,43.3507607718578,45.7425321787198,47.9230061053925,2.00596952438354,0,1,0,3,5,5,6.64615821838379,0,-2.98491740226746,0.674473941326141,7.11116790771484,634.533220429667,6.45288944244385,0,0,0,10.859073638916,2.38500094413757,0,1,0.478420943021774,0.363887518644333,0.480762243270874,0,1790.69970703125,438.200012207031,0,841.944083147288,6.73571348190308,483704.96875,1,13.0892324447632,422845.90625,29864.611328125,392.981292724609,5.9763035774231,0.842308461666107,0.842308461666107,0,0,1.09918941744481,3.33337044715881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,7.32236585463397e-05,-9.52199172973633
"3","AT1"," Ostösterreich","AT11"," Burgenland (AT)","AT113","Südburgenland",67.4000015258789,97800,NA,NA,44.6790008544922,1442.67004394531,2387.19995117188,15.1,9.90348720550537,0,0,70.513298034668,47.1433296203613,16.2630996704102,0,1,11.4906797409058,0,0,0,0,0,0,580.661553320804,296.100006103516,0.141811072826385,-1.9532595872879,-0.174243584275246,0.905516624450684,-0.494091123342514,0.0405510365962982,-1.89676630496979,0,0,3,0,6.36416816711426,6.64209127426147,4.21064519882202,0,0,90.620002746582,4.50667476654053,7.27425098419189,7.77787637710571,0.119360044598579,7.29322195053101,0,1045,1347999.5,14.1141319274902,0,0.263951241970062,-1.33199083805084,0.121173061430454,0,0,0,0,0,0,0.62816458940506,0.733958125114441,0.733958125114441,0.62816458940506,0.733958125114441,0,0,0.729149401187897,2396.54296875,"Austria",19999.9921875,97799.9921875,543821.750252659,13.2063770294189,4.33345118514996,6.25226837075646,8.46192779920182,10.448908102697,12.4573605206266,14.9685789269337,17.4702220590159,21.867237651743,28.2328392739255,34.1028836211262,37.9056900129302,41.5209526193917,43.7421387787174,46.3372374910615,1.83294439315796,0,0,2,1,6,3,6.71263742446899,0,-2.10005211830139,0.683096826076508,7.01173830032349,655.422196002016,6.48527956008911,0,0,0,7.96661376953125,2.07525944709778,0,1,0.396139562129974,0.208526208996773,0.874167561531067,0,1470.30029296875,698.500183105469,0,819.544194876373,6.70874834060669,504001.34375,1,13.1303358078003,354727,83026.5234375,271.700469970703,5.60837411880493,0.604665756225586,0.604665756225586,0,0,0.950922935743476,2.47320938110352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,8.14582235761918e-05,-9.41542053222656
"4","AT1"," Ostösterreich","AT12"," Niederösterreich","AT121","Mostviertel-Eisenwurzen",73.0999984741211,241600,NA,3.70000004768372,46.3660011291504,8314.669921875,16209.1904296875,17.6,10.0982313156128,0,0,70.513298034668,48.0437316894531,14.9922199249268,2,0,12.3950386047363,0,0,0,0,0,0,451.354058653486,570.599975585938,0.61963552236557,-0.47862383723259,-0.189476072788239,0.974302887916565,-2.50797271728516,-1.92701768875122,-2.52422785758972,0,0,3,0,6.1122522354126,6.57964324951172,4.29182815551758,0,0,84.4899978637695,4.43663311004639,9.02577686309814,9.69333362579346,0.667045116424561,8.11829662322998,0,5753,1776329.375,14.3900594711304,0,0.152416557073593,-1.88113796710968,0.0699704140424728,0,0,0,0,0,0,0.45055079460144,0.629883050918579,0.629883050918579,0.45055079460144,0.629883050918579,0,0,0.906763195991516,2396.54296875,"Austria",24299.9921875,241599.96875,602157.658735342,13.308274269104,4.48233030780367,9.67434398864076,15.797424960448,19.5423026120786,24.0043016679244,28.6755645422604,32.3993212063785,35.5631320928927,42.8104271142693,48.1208437930879,51.9291685514378,54.8734302530567,56.0150082173183,57.0918954195971,2.26947736740112,0,0,2,3,6,11,6.53668594360352,0,-2.30052018165588,0.402794867753983,7.00297212600708,518.251960061141,6.25046157836914,0,0,0,8.26007175445557,2.11143326759338,0,1,0.414780586957932,0.424053519964218,0.569176197052002,0,3355.30053710938,917.699829101562,0,711.034301886777,6.56672048568726,356968.8125,1,12.7854061126709,338671.03125,63175.796875,275.495239257812,5.62219381332397,0.83883410692215,0.83883410692215,0,0,0.740832226443175,2.64931964874268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3.4189044527011e-05,-10.2836055755615
"5","AT1"," Ostösterreich","AT12"," Niederösterreich","AT122","Niederösterreich-Süd",75.3000030517578,252600,NA,5.19999980926514,50.1269989013672,8314.669921875,16209.1904296875,17.6,10.0647554397583,0,0,70.513298034668,47.7562255859375,15.7766447067261,3,0,12.4395627975464,0,0,0,0,0,0,503.413321633301,1070.59997558594,0.651671528816223,-0.428214639425278,-0.176084443926811,1.00907075405121,-2.29776692390442,-0.495749741792679,-2.02629041671753,0,0,3,0,6.22141170501709,6.62463998794556,4.32148027420044,0,0,84.4899978637695,4.43663311004639,9.02577686309814,9.69333362579346,0.68975293636322,8.1238842010498,0,5753,1769549.625,14.3862352371216,0,0.150988817214966,-1.89054954051971,0.0693149864673615,0,0,0,0,0,0,0.464341402053833,0.565859913825989,0.565859913825989,0.464341402053833,0.565859913825989,0,0,0.892972588539124,2396.54296875,"Austria",23499.994140625,252600.078125,582396.779537897,13.2749071121216,6.00074706555187,8.57007788491383,11.9922502269276,14.844230993504,17.8924788395791,21.3951577902273,25.6428285518523,28.6942022529401,36.2886502411173,40.8721104741169,45.5149753350884,48.3983533526143,50.5721646792702,52.0190936674494,2.14827680587769,0,1,2,1,4,9,6.61385202407837,1,-2.40999794006348,0.266203045845032,7.00297212600708,584.331170016693,6.37046766281128,0,0,0,9.0859203338623,2.20672607421875,0,1,0.424960672855377,0.267272561788559,0.590965986251831,0,3374.10107421875,1204.39978027344,0,773.677926488351,6.65115547180176,421260.53125,1,12.9510087966919,367618.15625,29766.71484375,337.851440429688,5.82556200027466,0.692233204841614,0.692233204841614,0,0,0.676803785759736,2.74305081367493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3.59695877705235e-05,-10.2328367233276
"6","AT1"," Ostösterreich","AT12"," Niederösterreich","AT123","Sankt Pölten",121.699996948242,148100,NA,4.80000019073486,70.9649963378906,8314.669921875,16209.1904296875,17.6,10.4544954299927,0,1,70.513298034668,48.1385650634766,15.6382246017456,2,0,11.9056434631348,0,0,0,0,0,0,460.564210111508,300.200012207031,0.723138034343719,-0.324155151844025,-0.0633789524435997,1.11086142063141,-2.67970442771912,-1.38371169567108,-3.744793176651,0,0,3,0,6.13245248794556,6.62380170822144,4.80155897140503,0,0,84.4899978637695,4.43663311004639,9.02577686309814,9.69333362579346,0.467123419046402,7.11558198928833,0,5753,4222992,15.2560548782349,0,0.987647950649261,-0.0124289700761437,0.453403174877167,0,0,0,0,0,0,0.550410091876984,0.557299911975861,0.557299911975861,0.550410091876984,0.557299911975861,0,0,0.806903898715973,2396.54296875,"Austria",34700.015625,148100.0625,606632.38281608,13.3156785964966,5.45643325995848,8.09885909433206,12.6415726346645,15.1515550722739,19.2567933618963,24.2515618831681,27.6575611718261,30.9317514696341,38.51103913059,43.1930882331795,47.5319539015844,50.4278415899364,52.2261613422691,53.3962054325831,2.09172320365906,0,0,2,3,4,9,6.55558681488037,0,-2.53035306930542,0.570979535579681,7.2084698677063,551.316004208297,6.3123083114624,0,0,0,11.3951654434204,2.43318915367126,0,1,0.436152130365372,0.364539861679077,0.733963966369629,0,1230.99987792969,1533.99963378906,0,757.706891809614,6.63029670715332,402858.8125,1,12.906343460083,381284.125,26391.326171875,354.892822265625,5.87462949752808,0.800691962242126,0.800691962242126,0,0,0.594828500069054,3.03697347640991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,7.6942342275288e-05,-9.47245407104492
"7","AT1"," Ostösterreich","AT12"," Niederösterreich","AT124","Waldviertel",48.5,220700,NA,4.5,61.4379997253418,8314.669921875,16209.1904296875,17.6,9.99879741668701,0,0,70.513298034668,48.6448364257812,15.315899848938,0,1,12.3045597076416,0,0,0,0,0,0,399.516539845576,594.5,0.324492543935776,-1.12549269199371,0.18465419113636,1.20341563224792,-2.65195775032043,-1.21270930767059,-2.36029815673828,0,0,3,0,5.99025535583496,6.61343717575073,3.88156390190125,0,0,84.4899978637695,4.43663311004639,9.02577686309814,9.69333362579346,0.736781656742096,8.43669891357422,0,5753,1066999.625,13.8803615570068,0,0.0665874779224396,-2.7092387676239,0.030568553134799,0,0,0,0,0,0,0.751688480377197,0.76330041885376,0.76330041885376,0.751688480377197,0.76330041885376,0,0,0.605625510215759,2396.54296875,"Austria",21999.9921875,220700.03125,613533.174496011,13.3269891738892,3.45772763414166,6.38610683083842,12.6808684456073,17.1321406249398,22.7489793255434,26.8594434349635,30.3401772674767,33.8202665162648,40.8411330501716,46.6646746437981,50.2468314715709,52.7251958887937,53.9686322403543,55.1079417768582,1.8541247844696,0,0,2,2,7,9,6.4653205871582,0,-1.24826943874359,0.532391428947449,7.02388191223145,501.356113619645,6.21731662750244,0,0,0,7.43836307525635,2.00665092468262,0,1,0.316934466362,0.345808267593384,1.12057757377625,0,4613.30078125,2338.80029296875,0,726.517864770073,6.58826303482056,326743.53125,1,12.6969337463379,403055.65625,51049.30859375,352.00634765625,5.86648607254028,0.662742733955383,0.662742733955383,0,0,0.533994015428341,3.33147668838501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3.37034980475437e-05,-10.297908782959
"8","AT1"," Ostösterreich","AT12"," Niederösterreich","AT125","Weinviertel",51.7999992370605,124000,NA,NA,28.2159996032715,8314.669921875,16209.1904296875,17.6,9.77565383911133,0,0,70.513298034668,48.6580810546875,16.344352722168,0,1,11.7280368804932,0,0,0,0,0,0,437.108619972287,250,0.0729626268148422,-2.61780786514282,-0.520749688148499,1.33624696731567,-1.15544831752777,-1.17165720462799,-1.41164946556091,0,0,3,0,6.08018159866333,6.67870044708252,3.94739007949829,0,0,84.4899978637695,4.43663311004639,9.02577686309814,9.69333362579346,0.920977056026459,7.78854322433472,0,5753,911679.6875,13.7230443954468,0,0.108782976865768,-2.21840047836304,0.0499393902719021,0,0,0,0,0,0,0.364056766033173,0.364056766033173,0.364056766033173,0.364056766033173,0.364056766033173,0,0,0.993257224559784,2396.54296875,"Austria",17599.994140625,124000.0078125,616792.976004241,13.3322887420654,4.14812536802063,5.4732447845118,9.21178397749085,12.1204026641866,15.3373878058729,19.6734105378422,23.6399447142758,26.7805979744507,33.3805350340401,38.9245638784147,43.5902315254503,46.31042255105,48.0285830457414,49.7678320582795,1.69987165927887,0,1,1,1,6,8,6.52554893493652,0,-1.01084399223328,0.616805911064148,7.13199090957642,567.525839125918,6.34128618240356,0,0,0,8.24747085571289,2.1099066734314,0,1,0.294856905937195,0.341311424970627,0.43915593624115,0,2412.80004882812,4262.798828125,0,801.919193990944,6.68700790405273,383237.6875,1,12.8564128875732,451986.125,32356.392578125,419.629730224609,6.04175281524658,0.636168360710144,0.636168360710144,0,0,0.453129264657608,3.80473732948303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,6.65118568576872e-05,-9.61813068389893
"9","AT1"," Ostösterreich","AT12"," Niederösterreich","AT126","Wiener Umland/Nordteil",113.699996948242,303100,NA,3.5,57.9700012207031,8314.669921875,16209.1904296875,17.6,10.0732307434082,0,0,70.513298034668,48.3574485778809,16.3456554412842,0,1,12.6218175888062,0,0,0,0,0,0,464.980582444226,166.100006103516,0.372984170913696,-0.98621928691864,-1.08628904819489,1.26481902599335,-3.01893830299377,-3.69477605819702,-3.61249423027039,0,0,3,0,6.14199542999268,6.67258262634277,4.73356342315674,0,0,84.4899978637695,4.43663311004639,9.02577686309814,9.69333362579346,0.683931827545166,7.90985679626465,0,5753,2694691,14.8067941665649,0,0.284801214933395,-1.25596380233765,0.130744725465775,1,0,0,0,0,0,0.132129713892937,0.132129713892937,0.132129713892937,0.132129713892937,0.132129713892937,0,0,1.2251843214035,2396.54296875,"Austria",23700.009765625,303099.84375,674980.751400459,13.4224395751953,7.40930838861895,8.861857070322,12.5898424958335,14.8883702321674,17.6417762778535,21.8822714733593,25.8555035129453,29.1024460679194,35.7665242481532,41.109039878865,45.8913580389534,48.6355859725457,50.5032400463071,52.3224222551483,2.18175625801086,0,1,1,1,6,8,6.56523752212524,0,-2.57465004920959,0.625403523445129,3.75395798683167,583.31164904015,6.36872148513794,0,0,0,13.869327545166,2.62967967987061,0,1,0.440271228551865,0.617693662643433,0.141256332397461,0,2724.00024414062,6035.90185546875,0,806.779097793305,6.69304990768433,408011.78125,1,12.9190540313721,434710.5625,8889.66796875,425.820892333984,6.0563645362854,2.05796480178833,2.05796480178833,0,0,0.440965023140652,3.54245162010193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4.57582791568711e-05,-9.99213790893555
"10","AT1"," Ostösterreich","AT12"," Niederösterreich","AT127","Wiener Umland/Südteil",219.100006103516,316500,NA,4.40000009536743,96.6750030517578,8314.669921875,16209.1904296875,17.6,10.5610074996948,0,0,70.513298034668,48.0262908935547,16.4913520812988,0,1,12.665078163147,0,0,0,0,0,0,501.97407214425,176.899993896484,0.280526697635651,-1.27108633518219,-2.1186671257019,1.20648670196533,-4.79054641723633,-2.02235198020935,-2.44337201118469,0,0,3,0,6.21854829788208,6.67458486557007,5.38952827453613,0,0,84.4899978637695,4.43663311004639,9.02577686309814,9.69333362579346,0.419927269220352,7.29695558547974,0,5753,8457259,15.950535774231,0,1.64984095096588,0.500678896903992,0.75739848613739,0,0,0,0,0,0,0.202039390802383,0.202039390802383,0.202039390802383,0.202039390802383,0.202039390802383,0,0,1.1552746295929,2396.54296875,"Austria",38599.99609375,316499.875,626557.373421898,13.3479957580566,6.37991030692893,8.03291032084433,11.474262119327,13.1367826410766,15.7632015384056,19.0244471676252,22.6870257342999,26.0460028263887,31.9395680418356,38.3498899946988,43.0821355493289,45.8602722883174,48.0846663136865,50.0488733130809,2.08354687690735,0,1,0,3,5,7,6.61570119857788,0,-2.58038592338562,0.625403523445129,7.15683078765869,611.463232080521,6.41585493087769,0,0,0,21.8212623596191,3.08288478851318,0,1,0.440804570913315,0.434496432542801,0.223896265029907,0,1475.80017089844,NA,0,822.840739096541,6.7127628326416,441785.21875,1,12.9985809326172,427404.71875,7524.7353515625,419.879974365234,6.04234790802002,0.875301003456116,0.875301003456116,0,0,0.407099989780623,3.34172344207764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,6.8945562816225e-05,-9.58219337463379
