"","nuts_2","nuts_1","country","trade_center","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","altitude","dist_border","dist_coast","east_germany","bishop","mining","eqi100","residence","trade_year"
"1","AT11","AT1","Austria",0,0,15.1,70.513298034668,47.5082105000814,16.4922383626302,0,1,0,0,0,0,0,223.166669209798,0.125508718192577,2.9036869208018,0,0,0,90.620002746582,1,0
"2","AT12+AT13","AT1","Austria",1,1,18.6875,70.513298034668,48.2306914329529,15.9105032682419,1,1,1,0,1,0,0,412.137495040894,0.440830109640956,3.23650321364403,0,1,0,84.5499982833862,1,8
"3","AT21","AT2","Austria",1,0,17.3,70.513298034668,46.7263209025065,13.9798091252645,1,1,0,0,0,0,0,799.133321126302,0.224680222570896,1.08139048020045,0,1,0,88.120002746582,0,6
"4","AT22","AT2","Austria",1,0,16.6,70.513298034668,47.2274824778239,15.0753939946493,1,1,0,0,0,0,0,721.183319091798,0.621018941203753,1.96369731426239,0,1,0,81.3499984741211,1,6
"5","AT31","AT3","Austria",1,0,16.5,70.513298034668,48.1311820983887,13.983486366272,1,1,0,0,0,0,0,825.039990234375,0.35951232612133,2.40560808181763,0,0,0,82.629997253418,0,13
"6","AT32","AT3","Austria",1,0,19.7,70.513298034668,47.4059092203776,13.2349650065104,1,1,0,0,0,0,0,1556.26664225261,0.292552461226781,1.66095300515493,0,1,0,82.0299987792969,0,6
"7","AT33","AT3","Austria",1,0,17,70.513298034668,47.1817337036133,11.429856300354,1,1,0,0,0,0,0,1669.64001464844,0.204038810729981,2.08236885070801,0,0,0,87.6600036621094,0,6
"8","AT34","AT3","Austria",0,0,16.8,70.513298034668,47.2718086242676,9.84349536895752,1,1,0,0,0,0,0,1454.70001220703,0.125429015606642,2.9877700805664,0,0,0,86.1600036621094,0,0
"9","BE10+BE24+BE31","BRU","Belgium",0,1,44.85,73.6669998168945,50.8117876052857,4.4978129863739,0,0,1,0,1,0,0,78.1249990463257,0.49574389308691,0.321398779749871,0,0,0,69.2500009536743,0,0
"10","BE21","BRU","Belgium",1,0,32,73.6669998168945,51.1952845255534,4.66450929641724,0,1,0,1,1,0,0,13.5666663646698,0.194770835340023,0.258319303393364,0,0,0,81.5500030517578,0,7
"11","BE22","BRU","Belgium",0,0,28.6,73.6669998168945,50.9777323404948,5.44919983545939,0,1,0,0,0,0,0,53.5666669209798,0.18620441108942,1.03796182076136,0,0,0,81.5500030517578,0,0
"12","BE23","BRU","Belgium",1,0,33.8,73.6669998168945,51.0409469604492,3.83994336922964,0,1,0,1,1,0,0,23.8833338419596,0.200145988414685,0.120569419736664,0,0,0,81.5500030517578,0,9
"13","BE25","BRU","Belgium",1,0,29.5,73.6669998168945,51.0023698806763,3.03980395197868,0,1,0,1,1,0,0,15.7374995825812,0.139936364255845,0.245725408196449,0,0,0,81.5500030517578,0,7
"14","BE32","BRU","Belgium",0,0,24,73.6669998168945,50.5302467346191,3.80521249771118,0,1,0,0,0,0,0,78.8000011444092,0.132214054930955,0.523812672921589,0,1,0,60.8899993896484,1,0
"15","BE33","BRU","Belgium",0,0,30.4,73.6669998168945,50.5199653625488,5.66163244247436,0,1,0,0,1,0,0,297.979998779297,0.272358354926109,1.35952700376511,0,1,0,60.8899993896484,0,0
"16","BE34","BRU","Belgium",0,0,32.3,73.6669998168945,49.9162681579589,5.55554666519165,0,1,0,0,0,0,0,362.7,0.169587423652411,1.63044590950012,0,0,0,60.8899993896484,0,0
